model,type,statistic,r2_train,r2_test,rmse_train,rmse_test,n_samples,n_features
random-weights_2,random-weights,SFS_3,0.031061171802567844,0.029302036574796464,1.8346023074350954,1.7840518105370915,199837,64
random-weights_2,random-weights,SFS_4,0.023201841110005783,0.020380876402287473,1.648943531541069,1.6154800067961677,199837,64
random-weights_2,random-weights,SFS_5,0.019269791632699707,0.01848292805188967,1.5515134163494397,1.5577130484754784,199837,64
random-weights_2,random-weights,SFS_6,0.01689171426128666,0.017087771993491097,1.4571062139459068,1.4680864955993036,199837,64
random-weights_2,random-weights,SFS_7,0.012962887081900853,0.012672637921917085,1.4078448805564712,1.460893515201918,199837,64
random-weights_2,random-weights,SFS_8,0.010931874235057704,0.01176215081369747,1.3951171849958646,1.4078317858346694,199837,64
random-weights_2,random-weights,SFS_9,0.010526785969002472,0.009614294937166257,1.3335257717201856,1.3419852958582525,199837,64
random-weights_2,random-weights,LD_1,0.3839157760277615,0.38413052667966585,0.07596685574219016,0.07518919200187346,199837,64
random-weights_2,random-weights,LD_2,0.3310774936550468,0.3280701602578009,0.0756500520840773,0.07513612898384293,199837,64
random-weights_2,random-weights,LD_3,0.22620859461517373,0.22347903690325321,0.08252071403074725,0.0812012372574733,199837,64
random-weights_2,random-weights,LD_4,0.08945659554263541,0.08981035900757861,0.09058247474179909,0.09144047849515508,199837,64
random-weights_2,random-weights,LD_5,0.024469899073840673,0.021551828461109923,0.09041382870124645,0.09195433015971484,199837,64
random-weights_2,random-weights,LD_6,0.011635188976310884,0.008583635341961049,0.07955691724866296,0.0815177851603695,199837,64
random-weights_2,random-weights,LD_7,0.009630790609918227,0.007533220624324044,0.06192808430359469,0.06263191896937272,199837,64
random-weights_2,random-weights,LD_8,0.008383560640254695,0.006143144440545423,0.04426753074419353,0.04419648944514082,199837,64
random-weights_2,random-weights,LD_9,0.0054753892848891095,0.004475389166290866,0.030942882794886113,0.030575278311918964,199837,64
random-weights_2,random-weights,LD_10,0.0037720888940492303,0.0026972091787658137,0.020749983163373283,0.02211199524881919,199837,64
random-weights_2,random-weights,LD_11,0.00205740787978248,0.0008620270412148523,0.014070313756029655,0.014382870007012794,199837,64
random-weights_2,random-weights,LD_12,0.00128865348028262,0.0005044406661898204,0.008866088226586025,0.010657651198463979,199837,64
random-weights_2,random-weights,LD_13,0.000896363225182939,0.00010681121263345084,0.005872596594731943,0.006565978511239596,199837,64
random-weights_2,random-weights,LD_14,0.0004436858006244826,1.4802596056240347e-05,0.003360582699424589,0.004870641040444915,199837,64
random-weights_2,random-weights,LD_15,0.000322216109223894,-8.816415021817292e-06,0.001868671847945128,0.005222243327537957,199837,64
random-weights_2,random-weights,$\pi$,0.7634136407783702,0.7599663268836536,1.0853161806286884,1.0908895082008843,199837,64
random-weights_2,random-weights,#haps,0.0728390984093843,0.06932111607408997,12.11663128943456,12.043741687593853,199837,64
random-weights_2,random-weights,ihs_maxabs,0.29133942532950263,0.29064716148274516,0.2198923817601969,0.21989513556261603,199837,64
random-weights_2,random-weights,garud_h1,0.3303179510813422,0.3293798737190825,0.07974180614027637,0.08031281968096715,199837,64
random-weights_2,random-weights,garud_h12,0.27124362770773824,0.2675360344805827,0.12330261559274995,0.1237364158730745,199837,64
